inter_id,user_id,book_id,借阅时间,还书时间,续借时间,续借次数
101995,53,57875,2022-04-06 11:06:22,2022-05-1616:44:29,2022-05-0407:49:58,1
57416,260,32312,2020-12-05 20:21:34,2021-01-0507:55:49,,0
42786,1003,25633,2023-10-05 21:28:12,2023-11-2120:01:45,2023-11-0212:20:21,1
94233,248,52920,2021-01-23 15:50:47,2021-05-1713:43:18,2021-04-1913:52:32,2
69571,156,39546,2021-07-12 16:28:09,2021-11-2209:46:37,2021-10-1808:30:05,1
12891,459,7327,2024-02-28 21:39:10,2024-03-0721:48:40,,0
60522,1333,33599,2021-06-30 16:08:15,2023-05-3115:47:48,2021-10-1413:19:18,1
57964,360,32167,2020-10-01 11:06:17,2020-11-1715:47:47,2020-10-2517:54:17,1
100288,1290,56638,2021-07-12 20:22:26,2021-12-1716:38:46,2021-11-1612:22:12,2
13725,1331,7837,2023-09-20 21:19:14,2023-09-2021:54:40,,0
48553,367,28737,2022-04-29 09:49:17,2022-05-0121:04:26,,0
95569,1342,53629,2023-11-24 19:37:05,2024-02-1917:19:13,2023-12-2211:10:33,1
35047,266,21976,2022-04-06 18:50:24,2022-05-1019:22:53,,0
11632,900,6549,2021-05-23 08:53:22,2021-05-2317:51:12,,0
12863,120,7307,2021-03-25 09:42:08,2021-06-2209:27:59,2021-05-1813:32:33,2
19349,1207,11351,2024-11-12 18:38:57,2024-11-1818:05:39,,0
101156,1166,57262,2024-04-03 18:41:14,2024-09-0316:06:34,2024-11-0120:05:00,2
34819,448,21869,2022-09-29 10:10:16,2022-12-1212:14:39,2022-11-2612:11:00,2
66473,1381,37513,2024-01-04 21:41:02,2024-01-0521:35:23,,0
50381,1266,29218,2021-06-04 10:22:06,2021-06-0617:43:26,,0
30656,1197,18960,2024-05-16 12:20:35,2024-06-2117:43:34,2024-06-1313:02:24,1
55490,927,31165,2021-06-05 08:30:02,2021-07-0111:54:38,,0
77648,9,43530,2021-07-02 21:53:15,2021-08-0213:11:11,,0
78965,1434,44095,2024-03-13 16:06:54,2024-06-1119:33:21,2024-05-1013:39:50,2
17221,1331,10050,2023-03-12 11:02:14,2023-03-1212:57:04,2024-05-3017:52:50,1
61622,365,34224,2024-04-12 12:26:25,2024-04-1215:55:22,,0
61654,345,34247,2020-11-01 10:25:38,2020-12-0612:44:40,2020-11-2109:52:38,1
96025,677,53888,2024-03-17 12:17:19,2024-06-2318:29:36,2024-04-0620:44:17,1
40170,249,24520,2022-03-11 21:40:37,2022-05-1209:48:09,2022-04-0809:29:14,1
34750,602,21740,2024-04-02 15:50:34,2024-06-0219:09:55,2024-05-2209:47:33,2
14210,1085,8124,2023-10-17 09:21:25,2023-10-1721:26:20,,0
76119,897,42865,2020-11-03 11:09:54,2020-12-3113:33:56,,0
41093,463,25485,2021-11-02 16:11:14,2021-11-0815:39:56,,0
15572,288,9061,2022-02-20 18:43:58,2022-03-0121:44:46,,0
43839,832,26376,2022-05-30 16:04:15,2022-06-0318:12:39,,0
91120,889,51203,2021-09-23 13:58:15,2021-11-1417:04:51,2021-10-1812:44:30,1
26853,666,16277,2024-03-04 20:22:54,2024-05-0219:24:21,2024-04-3010:35:51,2
85772,496,48188,2023-08-19 08:25:51,2023-09-1617:52:25,,0
10765,1331,6000,2024-10-05 15:58:39,2024-10-0521:49:21,,0
72059,703,41252,2023-10-07 12:27:29,2023-11-2316:19:51,2023-11-0409:41:28,1
46490,433,27365,2024-10-23 11:03:06,2024-12-1817:48:38,2024-11-1408:09:29,1
1303,322,758,2020-12-08 21:12:16,2020-12-0921:02:23,,0
21155,858,12490,2020-09-04 14:53:53,2020-11-0119:48:32,2020-10-0215:41:46,1
50594,313,29719,2021-03-28 21:44:32,2021-03-2921:19:07,,0
81046,465,45199,2023-06-25 21:57:05,2023-09-1811:37:09,2023-08-1811:34:43,2
297,1085,109,2023-11-11 09:21:29,2023-11-1421:50:07,,0
94781,531,53040,2023-11-12 14:09:03,2023-12-1008:18:39,,0
86010,1145,48363,2023-10-17 12:09:28,2023-12-1810:47:59,2023-12-0921:36:04,2
1858,62,1069,2020-01-03 21:26:13,2020-01-0617:40:54,,0
42710,968,25088,2023-06-10 13:37:36,2023-06-2917:15:46,,0
1014,944,597,2021-06-08 19:05:10,2021-10-0916:26:26,2021-07-0611:56:28,1
35932,453,22690,2024-03-22 21:57:30,2024-06-1808:55:30,2024-05-1822:17:35,2
58299,31,32718,2021-11-26 20:25:18,2021-12-1117:44:57,,0
91757,472,51622,2023-11-29 15:14:55,2024-02-2211:25:55,2023-12-2815:38:25,1
98806,613,55639,2024-06-05 21:48:56,2024-10-1314:12:48,,0
31978,365,19927,2024-05-29 17:53:56,2024-05-2917:58:09,,0
65926,438,37171,2023-05-21 15:25:02,2023-05-2508:26:06,,0
74383,541,42252,2024-04-16 20:56:44,2024-06-0715:43:28,2024-05-0609:00:57,1
24107,1288,14311,2022-03-19 13:40:34,2022-07-0114:37:08,2022-05-0811:31:18,1
11701,954,6531,2020-10-14 13:02:58,2020-11-0109:04:30,,0
66671,1266,37601,2022-01-09 21:51:44,2022-02-1414:28:18,,0
24051,828,14281,2021-11-08 17:33:40,2021-12-0619:23:44,,0
58076,420,32215,2022-02-13 13:42:22,2022-05-2409:46:23,2022-04-0609:47:07,2
34667,453,21786,2024-09-10 21:01:04,2024-09-1021:01:26,,0
37767,68,23734,2020-01-14 14:10:16,2020-08-3012:13:52,2022-08-0609:55:54,0
41777,468,24355,2022-09-13 13:21:40,2022-10-1816:44:32,,0
91103,1390,51217,2024-10-29 19:05:47,2024-12-0518:57:19,,0
85107,1,47724,2021-03-18 16:50:56,2021-06-1019:17:51,2021-05-1215:43:29,2
78777,1314,44092,2021-06-18 10:25:38,2021-11-1101:02:43,2021-10-1011:16:52,2
52357,343,30358,2022-11-18 17:18:38,2022-11-2615:55:01,,0
12808,920,7266,2021-06-28 16:30:42,2021-10-2617:24:29,2021-10-1813:42:04,1
30837,1273,19094,2024-10-13 17:25:38,2024-11-1816:35:17,2024-11-0523:12:18,1
48742,470,29152,2024-09-02 21:37:16,2024-09-2816:38:21,,0
63497,443,35483,2022-02-17 10:45:18,2022-03-1220:32:01,,0
69835,514,39756,2023-09-27 21:51:29,2023-11-1117:08:02,,0
76852,805,43112,2020-01-16 16:37:03,2020-08-2619:59:31,,0
69783,420,39714,2022-05-31 18:44:02,2022-08-1408:50:13,2022-06-2419:11:06,1
98369,1065,55358,2023-02-27 19:07:50,2023-03-2616:22:38,,0
2042,548,1207,2024-03-18 21:32:17,2024-04-0518:41:41,,0
51628,406,30050,2021-07-01 18:45:02,2021-07-3121:45:35,2021-07-2512:56:13,1
60856,1167,33834,2024-01-20 14:18:26,2024-04-1319:59:56,2024-03-1919:05:46,2
11147,848,6130,2021-07-14 20:26:03,2021-11-0510:19:38,2021-10-1015:54:13,1
34460,287,21636,2020-11-06 18:34:38,2021-01-1908:40:54,2020-12-3109:37:13,2
89840,245,50472,2022-05-31 13:43:53,2022-07-0120:08:51,2022-06-2017:05:13,1
46550,754,28032,2024-09-30 16:19:39,2024-12-2615:50:05,2024-11-2815:57:43,2
80025,896,44670,2020-11-24 17:37:19,2021-01-2008:24:07,2021-01-1915:45:51,2
74350,354,42270,2022-03-31 18:45:21,2022-06-2216:51:50,2022-05-1611:02:52,1
99500,365,56105,2024-04-13 13:14:11,2024-04-1315:08:39,,0
21991,1202,13038,2024-10-21 10:58:15,2024-11-2716:07:40,,0
37950,453,23905,2023-10-06 14:33:22,2023-10-1418:40:12,,0
29353,1085,17957,2024-12-12 08:45:35,2024-12-1217:13:27,,0
30465,72,18821,2021-10-25 17:53:13,2021-11-0211:58:46,2022-04-0816:33:35,0
12263,912,6897,2023-02-27 19:07:48,2023-05-0417:00:15,2023-03-1910:24:10,1
48163,380,28990,2021-01-09 14:24:50,2021-02-2807:59:33,,0
90448,820,50762,2021-06-26 19:48:22,2021-07-1917:13:11,,0
31497,1261,19561,2024-10-28 16:05:41,2024-11-0410:51:14,,0
51346,536,30002,2023-06-04 13:16:36,2023-06-1111:56:23,,0
68498,258,38817,2021-08-09 10:18:48,2021-08-1120:14:41,2022-11-2110:40:30,0
42476,670,24582,2024-09-20 21:54:41,2024-10-1922:05:57,,0
82591,930,45969,2020-12-15 17:44:17,2020-12-1617:28:25,,0
98439,1193,55407,2024-04-25 19:08:31,2024-08-2712:29:27,2024-06-2208:23:36,2
40487,311,25192,2023-08-15 12:49:58,2023-08-1512:55:08,,0
91215,777,51293,2024-03-22 21:55:37,2024-06-1917:35:54,2024-05-1813:56:01,2
25665,916,15345,2022-12-10 12:48:40,2023-03-2912:18:42,2023-02-2017:11:11,1
42612,724,25004,2023-09-13 14:15:28,2023-09-2016:27:28,,0
838,726,495,2024-04-30 17:54:32,2024-05-0210:32:35,,0
42090,571,24339,2022-08-15 17:46:48,2022-08-1612:04:39,,0
78559,541,43989,2022-12-11 14:44:05,2023-02-2016:04:09,,0
65075,132,36629,2021-05-28 08:30:11,2021-05-3019:02:42,,0
1820,896,964,2022-11-16 08:13:16,2023-02-2814:32:57,2023-02-2515:40:23,1
71475,503,40828,2022-05-09 16:13:03,2022-06-1213:28:38,,0
99283,1263,55949,2020-01-07 18:09:27,2020-08-1118:06:24,,0
69463,642,39485,2022-11-16 16:49:43,2022-11-2117:28:40,,0
21166,932,12498,2020-12-10 17:43:13,2021-01-1421:25:37,,0
63114,1419,35215,2024-01-11 16:50:10,2024-03-2013:15:06,,0
42221,601,24407,2024-11-05 21:46:26,2024-11-0821:02:22,,0
6012,796,3341,2020-07-22 14:59:16,2020-08-1008:32:27,,0
77064,424,43274,2023-09-30 16:14:18,2023-11-2612:12:39,,0
13548,115,7707,2021-03-04 17:51:26,2021-04-0713:52:40,,0
21495,858,12731,2021-06-05 08:28:49,2021-10-1309:44:58,,0
64657,1224,36309,2023-10-19 16:33:02,2024-03-0621:12:48,2023-12-1621:36:22,1
67248,184,38054,2023-04-10 12:19:25,2023-04-1520:14:50,,0
72472,333,41398,2022-08-14 18:09:27,2022-11-1216:29:21,2022-10-0622:05:43,2
93016,1147,52206,2024-11-30 14:59:46,,,0
76393,673,42985,2024-09-09 16:07:40,2024-09-1111:20:56,,0
2845,32,1674,2021-04-29 09:52:33,2021-05-2418:59:44,2021-05-2222:07:22,1
42795,1011,24410,2022-05-21 21:46:12,2022-06-0217:51:12,,0
40442,311,25200,2023-12-23 13:10:18,2024-01-2021:49:59,2024-01-1522:16:44,1
64036,1269,35834,2023-08-25 20:26:29,2023-12-0215:16:36,2023-10-2216:15:28,2
38898,1111,24319,2024-03-16 16:38:53,2024-05-0314:11:49,2024-04-0712:04:00,1
26234,209,15757,2020-11-06 17:13:55,2020-11-0617:14:56,,0
87077,617,48926,2024-06-08 19:16:05,2024-06-2611:37:53,,0
20553,1331,12049,2021-10-14 20:03:53,2021-11-1120:51:07,,0
40086,211,24978,2021-03-06 20:35:03,2021-03-0918:44:11,,0
15450,799,8973,2020-10-26 21:21:31,2021-03-1119:15:35,2020-12-1720:44:22,2
84098,35,47089,2020-11-25 18:00:13,2021-01-2211:15:58,2021-01-1812:39:37,2
53192,86,30723,2021-04-03 08:30:19,2021-04-0519:13:47,,0
34908,448,21924,2022-09-01 11:26:00,2022-09-0317:46:36,,0
42174,595,25836,2024-12-02 21:30:53,,2024-12-2309:30:58,1
76899,152,43180,2020-12-28 20:59:02,2021-11-0311:30:37,2021-05-0810:42:49,2
61943,1017,34436,2023-06-25 13:16:26,2023-10-1315:30:29,2023-08-2211:10:55,1
51104,1096,29920,2024-08-05 11:19:17,2024-08-2211:57:23,,0
61953,1111,34441,2023-09-27 13:10:44,2023-10-1715:23:09,,0
64545,95,36217,2020-11-28 15:05:35,2021-01-1810:40:36,2020-12-2318:02:04,1
99273,1106,55944,2022-09-19 11:10:54,2022-10-1809:00:35,2022-10-1708:11:49,1
51586,311,30106,2023-03-09 09:43:22,2023-03-1621:56:14,,0
63437,943,35447,2020-09-17 11:18:17,2020-09-2407:58:25,,0
70948,296,40488,2022-03-11 17:20:22,2022-04-1918:33:36,2022-04-0409:22:16,1
81163,1350,45248,2022-06-06 12:15:51,2022-07-0814:11:02,,0
58290,856,32121,2021-01-03 21:38:11,2021-04-2614:47:13,2021-03-1919:09:10,1
28486,446,17321,2024-11-11 11:51:39,,,0
94591,421,53156,2021-04-19 19:37:18,2021-07-0412:43:29,2021-06-1715:17:23,2
101894,1315,57806,2023-04-21 12:10:30,2024-10-2209:27:06,2023-05-2021:08:04,1
81523,23,45423,2020-08-25 18:19:06,2020-10-2314:11:20,2020-09-2222:11:04,1
78520,195,43950,2021-10-29 08:23:50,2021-12-2908:30:01,2022-03-1914:56:57,2
71903,906,41120,2021-04-15 21:54:14,2022-06-2411:31:06,2021-05-1422:51:06,1
24680,281,14636,2021-10-16 17:57:41,2022-01-0109:05:08,2021-12-1421:14:21,2
68686,184,38960,2023-05-26 17:13:59,2023-06-1214:32:03,,0
58796,1000,32883,2022-11-30 12:29:13,2023-02-2817:28:52,,0
38640,311,24228,2024-05-26 18:53:25,2024-05-3110:49:23,,0
8000,912,4204,2023-02-27 19:07:28,2023-05-0417:00:12,2023-03-1910:24:19,1
36851,432,23211,2022-09-22 18:16:34,2022-11-0615:29:13,2022-10-1615:48:51,1
85322,238,47872,2023-02-28 21:42:57,2023-03-1309:03:35,,0
52960,415,30566,2020-11-03 10:04:46,2020-11-1317:01:45,,0
8335,566,4682,2023-02-26 22:02:24,2023-04-2719:07:30,2023-03-2811:42:46,1
77079,456,43183,2024-12-30 09:33:53,,,0
1474,413,842,2021-08-09 10:22:24,2021-08-2517:37:43,,0
53959,316,30781,2022-04-23 18:27:46,2022-04-2815:49:51,,0
27617,549,16791,2024-06-12 17:56:33,2024-06-2117:13:06,,0
6429,944,3402,2020-11-19 16:18:57,2021-01-2210:17:17,2021-01-0812:59:29,2
100208,195,56635,2022-01-06 18:07:57,2022-03-2714:38:22,2022-03-1914:57:07,2
11449,1117,6478,2023-08-25 08:31:28,2023-10-0911:39:15,,0
66599,380,37617,2021-12-09 17:30:33,2022-02-1814:45:35,2022-01-0618:48:04,1
28472,249,17321,2022-03-19 20:53:11,2022-05-1720:56:58,,0
73658,531,41892,2024-02-29 15:29:38,2024-03-2611:29:18,,0
2564,668,1502,2024-09-12 08:37:13,2024-09-1221:42:28,,0
100414,982,56761,2022-11-10 13:05:16,2022-12-1210:18:46,2022-12-1019:39:09,1
56721,1202,31761,2024-03-08 11:34:01,2024-03-2409:56:19,,0
49301,973,29305,2024-11-13 15:49:04,2024-11-2113:38:05,,0
54961,1038,30627,2024-12-29 17:50:43,,,0
88096,1293,49525,2020-10-30 17:06:12,2020-12-0719:18:49,2020-11-2714:31:39,1
84059,950,47053,2021-04-28 12:13:30,2021-05-1016:32:01,2022-05-2622:48:22,1
71038,489,40569,2024-03-23 17:18:02,2024-03-2317:19:37,,0
45526,282,27209,2021-12-14 16:22:17,2021-12-3011:04:25,,0
1880,270,1088,2021-11-29 20:41:57,2021-12-0816:51:13,,0
10265,108,5958,2020-08-28 08:58:19,2020-09-1416:06:51,,0
23377,723,13812,2023-11-19 13:22:57,2023-12-0314:20:30,,0
14726,108,8451,2021-12-28 08:50:32,2022-05-2918:31:22,,0
91930,1064,51684,2023-10-06 18:22:23,2023-11-2718:20:17,2023-11-0411:19:12,1
66180,905,37364,2022-04-08 20:23:56,2022-06-0712:28:02,2022-05-0615:27:43,1
72190,100,41328,2021-04-03 20:57:55,2021-05-2911:37:49,,0
92069,1436,51604,2024-12-02 20:59:15,,,0
69409,607,39452,2022-09-24 18:13:29,2022-10-1611:57:12,,0
96124,634,53876,2022-10-16 12:19:51,2022-12-1109:48:45,2022-12-0816:36:05,2
28995,1200,17700,2023-10-20 20:36:24,2024-01-0416:21:56,,0
37259,426,23408,2021-06-23 21:56:09,2021-07-0913:57:24,,0
90867,1025,51072,2023-09-27 20:02:55,2024-04-1517:23:34,2023-11-2110:10:11,2
66716,1065,37686,2024-09-10 18:59:40,2024-10-1018:01:41,,0
101502,1257,57539,2024-11-05 21:35:43,2024-12-0518:23:23,,0
102323,720,58127,2024-09-25 18:12:27,2024-12-1408:23:11,2024-11-1721:32:11,2
102829,351,58503,2021-08-08 19:42:36,2021-10-1711:29:58,,0
34947,241,21955,2022-12-13 14:42:59,2022-12-1613:45:18,2023-04-1223:14:55,0
38088,15,23980,2020-09-27 17:32:16,2020-12-2721:11:18,2020-11-1612:47:29,2
83995,1416,47008,2024-08-21 14:47:06,2024-09-3016:19:57,,0
41661,448,25689,2023-08-24 11:41:11,2023-10-2308:14:43,2023-09-2111:25:36,1
93968,409,52721,2021-06-03 16:07:08,2021-10-1712:56:56,2021-07-2501:28:05,2
93496,762,52496,2020-11-24 16:36:19,2021-04-2418:24:38,2021-01-1812:01:00,2
54618,551,31296,2024-06-21 20:38:39,2024-06-2315:20:50,,0
5389,536,2996,2023-05-23 15:49:27,2023-06-0115:50:30,,0
49781,659,29427,2024-12-03 19:54:09,2024-12-0611:30:03,,0
7582,187,4223,2022-08-28 21:21:27,2022-10-2422:45:07,2022-09-2414:36:23,1
71459,431,40847,2022-05-02 17:25:51,2022-06-0812:02:18,2022-05-2620:33:07,1
39789,769,24655,2021-03-29 19:43:46,2021-04-0809:27:15,,0
20529,1331,12087,2022-02-21 10:31:58,2022-02-2520:24:06,,0
21100,1251,12445,2024-10-08 09:01:52,2024-11-0719:19:32,,0
48002,311,28906,2024-04-07 13:58:14,2024-04-1421:21:16,,0
37428,110,23548,2021-12-21 19:03:04,2022-05-2409:46:38,2022-02-1321:03:19,1
59616,690,33138,2024-06-19 11:46:25,2024-08-1916:27:00,,0
94731,324,53243,2021-03-21 08:06:30,2021-06-1920:39:51,2021-05-2008:33:30,2
34834,571,21860,2022-11-14 14:56:51,2022-12-1018:49:05,,0
17370,787,10132,2021-05-24 18:15:47,2021-06-1318:58:39,,0
94180,184,52880,2020-11-24 11:16:52,2021-01-1314:33:44,2020-12-1409:57:43,1
70552,563,40251,2024-06-03 21:58:44,2024-06-0421:36:02,,0
30060,270,18485,2021-05-23 19:08:56,2021-05-2712:28:22,,0
24269,131,14376,2021-11-19 19:18:20,2022-03-1115:32:27,2021-12-1810:02:37,1
70426,1374,40149,2023-12-20 15:21:30,2024-01-2420:10:05,,0
57097,736,32103,2024-09-05 13:08:26,2024-10-2816:35:19,,0
53558,50,30923,2021-03-22 16:54:01,2021-04-0717:58:33,,0
4699,944,2603,2021-06-17 18:23:56,2021-06-1721:21:56,,0
93024,1346,52214,2022-07-13 11:32:50,2022-08-3014:07:36,2022-09-2609:04:08,1
101805,823,57760,2020-10-13 09:50:18,2021-01-0510:09:35,2020-12-0710:42:53,2
35501,150,22361,2021-10-19 18:08:39,2021-11-0216:09:32,,0
71735,365,41021,2024-04-16 13:12:16,2024-04-1618:58:05,,0
15625,32,9083,2022-02-21 10:40:55,2022-02-2117:19:26,,0
81690,494,45518,2023-10-14 18:38:09,2023-12-3118:08:49,2023-12-1222:57:16,2
37351,957,23482,2023-05-08 17:17:12,2023-05-1411:34:20,,0
99192,1103,55889,2023-12-25 08:39:27,2024-02-2114:29:21,,0
81623,378,45489,2020-11-22 21:13:35,2021-01-2214:19:07,2021-01-1507:16:43,2
47964,307,28364,2023-11-23 17:54:44,2023-12-1417:01:58,,0
22125,1109,13095,2023-03-23 15:27:18,2023-03-2815:16:37,,0
38112,71,23995,2020-09-09 21:59:14,2020-10-1920:45:43,,0
88045,1436,49493,2024-03-01 12:13:37,2024-05-2821:03:22,2024-04-2811:15:26,2
